experiment,model,nfe,solver,skip_type,num_samples,fid,ctx_frac,warmth
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,50000,8.5859375,0.2,1.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,50000,2.875,0.2,1.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,50000,5.32421875,0.3,1.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,50000,1.7216796875,0.3,1.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,50000,3.064453125,0.4,1.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,50000,1.05859375,0.4,1.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,50000,1.68359375,0.5,0.2
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,50000,1.470703125,0.5,0.2
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,50000,0.86181640625,0.6,0.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,50000,0.7978515625,0.6,0.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,50000,0.422119140625,0.7,0.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,50000,0.406982421875,0.7,0.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,50000,0.20458984375,0.8,0.0
